t_sec      qx           qy           qz           qw
 91.750  -0.890538456  -0.056813387   0.165335580   0.419973384
 92.000  -0.890572603  -0.056921361   0.165492236   0.419824628
 92.250  -0.890606580  -0.057029251   0.165648769   0.419676149
 92.500  -0.890640387  -0.057137056   0.165805179   0.419527949
 92.750  -0.890674025  -0.057244778   0.165961467   0.419380028
 93.000  -0.890707494  -0.057352414   0.166117633   0.419232385
 93.250  -0.890740794  -0.057459967   0.166273676   0.419085020
 93.500  -0.890773926  -0.057567435   0.166429597   0.418937934
 93.750  -0.890806889  -0.057674819   0.166585396   0.418791127
 94.000  -0.890839683  -0.057782119   0.166741073   0.418644599
 94.250  -0.890872310  -0.057889334   0.166896628   0.418498350
 94.500  -0.890904768  -0.057996465   0.167052061   0.418352380
 94.750  -0.890937058  -0.058103512   0.167207372   0.418206689
 95.000  -0.890969181  -0.058210475   0.167362562   0.418061277
 95.250  -0.891001136  -0.058317353   0.167517630   0.417916146
 95.500  -0.891032924  -0.058424147   0.167672577   0.417771293
 95.750  -0.891064545  -0.058530857   0.167827403   0.417626721
 96.000  -0.891095999  -0.058637483   0.167982107   0.417482428
 96.250  -0.891127286  -0.058744024   0.168136691   0.417338415
 96.500  -0.891158407  -0.058850482   0.168291153   0.417194682
 96.750  -0.891189361  -0.058956855   0.168445495   0.417051230
 97.000  -0.891220148  -0.059063144   0.168599715   0.416908057
 97.250  -0.891250770  -0.059169349   0.168753815   0.416765165
 97.500  -0.891281226  -0.059275469   0.168907795   0.416622554
 97.750  -0.891311516  -0.059381505   0.169061654   0.416480223
 98.000  -0.891341640  -0.059487458   0.169215393   0.416338172
 98.250  -0.891371599  -0.059593326   0.169369012   0.416196403
 98.500  -0.891401393  -0.059699110   0.169522510   0.416054914
 98.750  -0.891431022  -0.059804810   0.169675889   0.415913707
 99.000  -0.891460485  -0.059910425   0.169829147   0.415772780
 99.250  -0.891489785  -0.060015957   0.169982286   0.415632135
 99.500  -0.891518919  -0.060121404   0.170135305   0.415491771
 99.750  -0.891547889  -0.060226767   0.170288205   0.415351688
100.000  -0.891576695  -0.060332047   0.170440985   0.415211887
100.250  -0.891605337  -0.060437242   0.170593646   0.415072367
100.500  -0.891633816  -0.060542353   0.170746187   0.414933130
100.750  -0.891662130  -0.060647380   0.170898610   0.414794173
101.000  -0.891690281  -0.060752322   0.171050913   0.414655499
101.250  -0.891718269  -0.060857181   0.171203098   0.414517107
101.500  -0.891746093  -0.060961956   0.171355163   0.414378997
101.750  -0.891773755  -0.061066647   0.171507110   0.414241169
102.000  -0.891801253  -0.061171253   0.171658939   0.414103623
102.250  -0.891828589  -0.061275776   0.171810649   0.413966360
102.500  -0.891855763  -0.061380214   0.171962241   0.413829379
102.750  -0.891882774  -0.061484568   0.172113714   0.413692681
103.000  -0.891909623  -0.061588839   0.172265070   0.413556266
103.250  -0.891936310  -0.061693025   0.172416307   0.413420133
103.500  -0.891962835  -0.061797127   0.172567427   0.413284283
